novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),Pilate,89688,89694,character_reference,0.7,Pilate,"old me to stay away from there. To stay away from Pilate."" ""Right."" ""But you never told me why. They're ou",annotator_2,overlap
Song of Solomon (1977),Babylon,404181,404188,character_reference,0.85,Babylon,"ike that: he would parade us like virgins through Babylon, then humiliate us like whores in Babylon. Now he",annotator_2,overlap
Jazz (1992),Eden,285706,285710,character_reference,0.7,Eden,"is a long way from Virginia, and even longer from Eden. As he puts on his coat and cap he can practicall",annotator_2,overlap
The Bluest Eye (1970),Solomon,403,410,character_reference,0.85,Solomon,"is the author of five other novels, Sula, Song of Solomon, which won the 1978 National Book Critics' Circle",annotator_2,unique
Song of Solomon (1977),Solomon,566209,566216,character_reference,0.85,Solomon,"No. It's Solomon she is crying for, not a baby. ""Solomon don't leave me."" He must have been her lover. Mil",annotator_2,overlap
Beloved (1987),Paul,418369,418373,character_reference,0.85,Paul,"r of Sixo, and even Halle; it was always clear to Paul D that those two were men whether Garner said so",annotator_2,overlap
Beloved (1987),Paul,73492,73496,character_reference,0.85,Paul,"on: plans. The morning after the first night with Paul D, Sethe smiled just thinking about what the word",annotator_2,overlap
Song of Solomon (1977),Hagar,573504,573509,character_reference,0.7,Hagar,and pressed in the catch. The lid sprang open and Hagar saw a tiny part of her face reflected in the mirr,annotator_2,overlap
Paradise (1998),Mary,433367,433371,character_reference,0.85,Mary,"years Consolata worked hard to become and remain Mary Magna's pride, one of her singular accomplishment",annotator_2,overlap
Song of Solomon (1977),Pilate,175732,175738,character_reference,0.7,Pilate,"et people tell me what to do. I do what I want."" ""Pilate tells you what to do."" ""But I don't have to do it",annotator_2,overlap
Sula (1973),Mary,40151,40155,character_reference,0.85,Mary,ttin'-up. They stepped into the house. The Virgin Mary clasped her hands in front of her neck three time,annotator_2,overlap
A Mercy (2008),Peter,44377,44382,character_reference,0.85,Peter,at things close to his face. Downes was his name. Peter Downes. A Negro boy had been sum- moned and now b,annotator_2,unique
Song of Solomon (1977),Saul,498983,498987,character_reference,0.85,Saul,"e."" ""Stick him, Saul, stick that cocksucker."" But Saul had a jagged cut over his eye and the blood pouri",annotator_2,unique
Beloved (1987),Paul,429599,429603,character_reference,0.85,Paul,"d by the things honeybees love. Tied like a mule, Paul D feels how dewy and inviting the grass is. He is",annotator_2,overlap
Song of Solomon (1977),lot,61879,61882,character_reference,0.7,Lot,you that. But in a few years-five or ten-a whole lot of coloreds will have enough to afford it. A whol,annotator_2,overlap
Song of Solomon (1977),Pilate,428083,428089,character_reference,0.7,Pilate,al box with a piece of paper bag folded up in it. Pilate's name was written on it. Circe didn't tell Daddy,annotator_2,overlap
Song of Solomon (1977),Solomon,619851,619858,character_reference,0.85,Solomon,Pilate walked up the road to the path that led to Solomon's Leap. It was the higher of two outcrop- pings o,annotator_2,overlap
Paradise (1998),Mary,438764,438768,character_reference,0.85,Mary,olata knew she knew them. It was some time before Mary Magna could get the pharmacist's attention. Final,annotator_2,overlap
Beloved (1987),acts,86157,86161,thematic_reference,0.9,Acts,"ean a thing."" ""It means she has to take it if she acts up. You can't protect her every minute. What's go",annotator_2,unique
Paradise (1998),Aaron,382599,382604,character_reference,0.85,Aaron,"aron Poole and had thirteen children. One of whom Aaron was going to name Deep, but Sally pitched a fit,",annotator_2,unique
Tar Baby (1981),Gideon,271492,271498,character_reference,0.7,Gideon,"the kitchen, Mr. Green alias Son drifted off with Gideon and Thérèse in the Prix de France. With country p",annotator_2,overlap
Beloved (1987),Paul,254960,254964,character_reference,0.85,Paul,"table. Beloved, who had not moved since Sethe and Paul D left the room, sat sucking her forefinger. Denv",annotator_2,overlap
Tar Baby (1981),job,502472,502475,thematic_reference,0.9,Job,d. I can't expect Sydney to do this. It's not his job really. Ondine's either. I really could use you n,annotator_2,overlap
Song of Solomon (1977),SOLOMON,43,50,character_reference,0.7,Solomon,"THE UNIVERSITY OF LIBRARIES C    SONG OF SOLOMON SONG OF SOLOMON Toni Morrison Alfred A. Knopf, Ne",annotator_2,overlap
Song of Solomon (1977),Solomon,555761,555768,character_reference,0.85,Solomon,"I plan to."" ""Sweet give you any breakfast?"" asked Solomon. ""She tried, but I wanted to get over here early",annotator_2,overlap
A Mercy (2008),Jacob,150336,150341,character_reference,0.85,Jacob,ists were not confused about any this. Adam (like Jacob) was a good man but (unlike Jacob) he had been go,annotator_2,overlap
Tar Baby (1981),Gideon,542914,542920,character_reference,0.7,Gideon,"reased and played a middle ear drone in his head. Gideon tapped him on the shoulder and he sat down. ""Leav",annotator_2,overlap
Tar Baby (1981),job,289123,289126,thematic_reference,0.9,Job,"he thought she had better go to New York, do this job, and then return to 159 Paris and Ryk. The idea o",annotator_2,overlap
Tar Baby (1981),Paul,533322,533326,character_reference,0.85,Paul,"n, Rascal, Turner and Soldier and Drake and Ernie Paul who left the serv- ice a first lieutenant and now",annotator_2,overlap
Song of Solomon (1977),Hagar,237055,237060,character_reference,0.85,Hagar,"d with re- lief. Pilate beat her, Reba cried, and Hagar crouched. Until the next time. Like this time whe",annotator_2,overlap
Beloved (1987),Paul,252748,252752,character_reference,0.85,Paul,". Tucked into the well of his arm, Sethe recalled Paul D's face in the street when he asked her to have",annotator_2,overlap
Jazz (1992),job,157670,157673,thematic_reference,0.9,Job,"rue Belle, came when she heard. Left her cushiony job in Baltimore and, with ten eagle dollars stitched",annotator_2,overlap
Beloved (1987),Paul,444590,444594,character_reference,0.85,Paul,"Judy will take me in or won't she."" ""I was there, Paul D."" ""You was where?"" ""There in the yard. When she",annotator_2,overlap
A Mercy (2008),Judith,125731,125737,character_reference,0.7,Judith,"us."" ""Well, two aboard, then. Patty is another."" Judith winked and smiled at the little girl. ""Don't trad",annotator_2,overlap
Tar Baby (1981),Gideon,277587,277593,character_reference,0.85,Gideon,to go blind. Son asked who were the blind race so Gideon told him a story about a race of blind people des,annotator_2,overlap
The Bluest Eye (1970),revelation,293242,293252,thematic_reference,0.9,Revelation,"n, its suggestion of illicit gossip, of thrilling revelation, there is also, in the ""whisper,"" the assumption",annotator_2,overlap
Song of Solomon (1977),Pilate,392262,392268,character_reference,0.7,Pilate,ter. He thought again of how Guitar had looked at Pilate-the jeweled hatred in his eyes. He had no right t,annotator_2,overlap
Song of Solomon (1977),job,197930,197933,thematic_reference,0.9,Job,"? They excused them- selves for everything. Every job of work undone, every bill unpaid, every illness,",annotator_2,overlap
Paradise (1998),Calvary,156409,156416,character_reference,0.7,Calvary,"ame back to her. Driving away from the meeting at Calvary, Steward and Dovey had a small but familiar disag",annotator_2,overlap
Tar Baby (1981),Gideon,190238,190244,character_reference,0.7,Gideon,"g around waiting for his chance."" ""Maybe. Maybe."" Gideon looked at her milky eyes. ""You damn near blind, b",annotator_2,overlap
Song of Solomon (1977),Hagar,79381,79386,character_reference,0.85,Hagar,"the point, Mama."" ""Shut up, Reba. I'm talking to Hagar."" ""Yes, Mama. You treat them both the same."" ""The",annotator_2,overlap
Song of Solomon (1977),Pilate,306059,306065,character_reference,0.85,Pilate,u all of it. The part I left out was about me and Pilate. I tried to keep you away from her and said she w,annotator_2,overlap
Song of Solomon (1977),Ruth,348675,348679,thematic_reference,0.9,Ruth,"ong after they had reached thirty-five, and after Ruth came to terms with the sav- age fact that her dau",annotator_2,overlap
Beloved (1987),Paul,302339,302343,character_reference,0.85,Paul,"e 'cause that ain't her mouth."" Stamp looked into Paul D's eyes and the sweet conviction in them almost",annotator_2,overlap
Song of Solomon (1977),Grace,548283,548288,thematic_reference,0.8,Grace,"wrist to look at his watch and remem- bered that Grace had not given it back to him. ""Damn,"" he murmured",annotator_2,overlap
Song of Solomon (1977),lot,205004,205007,character_reference,0.7,Lot,"d go. ""Well, thanks for the coffee, boy. Did me a lot of good. A lot of good."" He took his gloves out o",annotator_2,overlap
Beloved (1987),Paul,440379,440383,character_reference,0.85,Paul,"make you do what you won't, but think about it."" Paul D said nothing. ""If I did you harm, I'm here to r",annotator_2,overlap
Song of Solomon (1977),Ruth,40032,40036,thematic_reference,0.9,Ruth,"t he had been introduced to 23 his daughter, Miss Ruth Foster, and would appreciate having the doctor's",annotator_2,overlap
Beloved (1987),Paul,187846,187850,character_reference,0.85,Paul,"from the ambition welling in her now: she wanted Paul D. No matter what he told and knew, she wanted hi",annotator_2,overlap
Song of Solomon (1977),Ruth,259876,259880,thematic_reference,0.9,Ruth,"Don't nobody have to die if they don't want to."" Ruth felt a chill. She'd always believed that her fath",annotator_2,overlap
Paradise (1998),numbers,251979,251986,thematic_reference,0.9,Numbers,as though she might have trouble remembering five numbers in a row. She had brought ham sandwiches too (his,annotator_2,overlap
Beloved (1987),Paul,439677,439681,character_reference,0.85,Paul,"d his mind and came back. ""Look here,"" he said to Paul D. ""There's a cross up there, so I guess this her",annotator_2,overlap
Song of Solomon (1977),Pilate,575521,575527,character_reference,0.7,Pilate,"Reba asked. ""You just got up."" ""Hush, Reba,"" said Pilate. ""Let the child take care of herself."" ""But she's",annotator_2,overlap
Song of Solomon (1977),Ruth,181868,181872,thematic_reference,0.9,Ruth,"d in Tommy's Barbershop, the word was that Winnie Ruth Judd had struck again. The men laughed about it a",annotator_2,overlap
Beloved (1987),Paul,475050,475054,character_reference,0.85,Paul,in the tree with a sign on it was her husband or Paul A; whether the bubbling-hot girls in the colored-,annotator_2,overlap
Paradise (1998),Mary,481880,481884,character_reference,0.85,Mary,"h cautioned against excessive human love and when Mary Magna left her, Consolata accepted the sympathy o",annotator_2,unique
Song of Solomon (1977),Eve,181690,181693,character_reference,0.7,Eve,"the way another boy had been killed on New Year's Eve in 1953, and the way four grown men had been kill",annotator_2,unique
Song of Solomon (1977),Ruth,123424,123428,thematic_reference,0.9,Ruth,"ey were thirty-five and thirty-six now. But since Ruth was only sixteen years older than Lena, all three",annotator_2,overlap
Song of Solomon (1977),John,541717,541721,thematic_reference,0.9,John,"."" ""That's because they're passing too. Just like John. You couldn't visit them if you wanted to."" Grace",annotator_2,unique
Song of Solomon (1977),Solomon,555080,555087,character_reference,0.85,Solomon,"'t shake the dream, and didn't really want to. In Solomon's store he found Omar and Solomon shak- ing sacks",annotator_2,overlap
Song of Solomon (1977),Hagar,239908,239913,character_reference,0.85,Hagar,"life-a very long time ago. ""Hagar?"" ""Hagar. Shore Hagar."" ""Does Pilate know?"" ""Course she do. Whip her ev",annotator_2,unique
Tar Baby (1981),Gideon,283004,283010,character_reference,0.85,Gideon,"on's mind, his eye. It unnerved him to think that Gideon had looked at her at all. The old man heard the p",annotator_2,overlap
Song of Solomon (1977),Pilate,619189,619195,character_reference,0.7,Pilate,It was nice. No reconciliation took place between Pilate and Macon (although he seemed pleased to know tha,annotator_2,unique
Tar Baby (1981),Gideon,481355,481361,character_reference,0.7,Gideon,"want to be a yardman all your life?"" ""His name is Gideon! Gideon! Not Yardman, and Mary Thérèse Foucault,",annotator_2,unique
Beloved (1987),Paul,25260,25264,character_reference,0.85,Paul,"new you to behave this way."" ""Leave her be,"" said Paul D. ""I'm a stranger to her."" ""That's just it. She",annotator_2,overlap
Tar Baby (1981),job,415589,415592,thematic_reference,0.9,Job,"She said, ""Not tonight, I don't,"" so he left the job hauling boxes and took her home. All three, Nommo",annotator_2,overlap
Paradise (1998),job,324578,324581,thematic_reference,0.9,Job,e thing fell into place. Car- los could leave his job with little outcry during the holidays. Milton Tr,annotator_2,overlap
Song of Solomon (1977),Pilate,88173,88179,character_reference,0.7,Pilate,"slowly across Reba's face, but she didn't answer. Pilate began to hum as she returned to plucking the berr",annotator_2,unique
Song of Solomon (1977),Pilate,281745,281751,character_reference,0.7,Pilate,"s feet and shook his head. So for the first time, Pilate went voluntarily to the police, who sent her to t",annotator_2,overlap
Song of Solomon (1977),Ruth,182841,182845,thematic_reference,0.9,Ruth,mitted by a fellow lunatic of the race and Winnie Ruth Judd fit the descrip- tion. They believed firmly,annotator_2,unique
Beloved (1987),Judith,441154,441160,character_reference,0.85,Judith,"Depends. What you got in mind?” ""You know Judy?"" ""Judith. I know everybody."" ""Out on Plank Road?"" ""Everybo",annotator_2,overlap
Song of Solomon (1977),Pilate,79190,79196,character_reference,0.7,Pilate,"if you both got the same mother or if you both-"" Pilate interrupted her. ""I mean what's the difference in",annotator_2,unique
Beloved (1987),Paul,48320,48324,character_reference,0.85,Paul,the. Nothing could be as good as the sex with her Paul D had been imagining off and on for twenty-five y,annotator_2,overlap
Tar Baby (1981),Mary,524343,524347,character_reference,0.85,Mary,"hole lot eyes into the girl's plastic pail. ""Bye, Mary, I have to go. Good luck.” Jadine pushed open the",annotator_2,overlap
Paradise (1998),Hope,407911,407915,thematic_reference,0.8,Hope,"e children onstage. The four youngest Cary girls: Hope, Chaste, Lovely and Pure; Dina Poole; and one of",annotator_2,overlap
Beloved (1987),Paul,52605,52609,character_reference,0.85,Paul,ner could not doubt was the fault of the raccoon. Paul F wanted his roasted; Paul A wanted his boiled an,annotator_2,overlap
Song of Solomon (1977),Pilate,97677,97683,character_reference,0.85,Pilate,"e one too. Close his face up like a door."" ""I saw Pilate's face like that."" Milkman felt close and confi-",annotator_2,unique
Song of Solomon (1977),Saul,520587,520591,character_reference,0.85,Saul,"im, scarred him like Reverend Cooper's knot, like Saul's missing teeth, and like his own father. He felt",annotator_2,overlap
Song of Solomon (1977),Grace,535725,535730,thematic_reference,0.8,Grace,"oice came from be- hind her. ""Somebody to see me, Grace."" ""Well, why don't you ask him in? Don't make him",annotator_2,overlap
A Mercy (2008),Jacob,41627,41632,character_reference,0.85,Jacob,bush of Africa pagan rather than a four-post bed. Jacob sneered at wealth dependent on a captured workfor,annotator_2,overlap
Song of Solomon (1977),Grace,594779,594784,thematic_reference,0.8,Grace,"e of her hand. ""I just said that in front of her, Grace. She talks so much, you know. Carries tales all o",annotator_2,overlap
Song of Solomon (1977),hope,581636,581640,thematic_reference,0.8,Hope,"you order fish from next door?"" ""All that hair. I hope she don't expect nothing fancy."" ""Call him up aga",annotator_2,overlap
Song of Solomon (1977),Pilate,282147,282153,character_reference,0.7,Pilate,"in fact one captain's secretary found him listed. Pilate was surprised that they were successful, but the",annotator_2,unique
The Bluest Eye (1970),mark,210994,210998,thematic_reference,0.9,Mark,"t coal, leaving only flakes of ash and a question mark of smoke. He was, in time, to discover that hatre",annotator_2,overlap
Paradise (1998),lot,393378,393381,character_reference,0.7,Lot,"ve too."" A remark Dovey must have thought about a lot until 1964, when the curse was completed. But the",annotator_2,overlap
Beloved (1987),Paul,83661,83665,character_reference,0.85,Paul,and more bread to the heap she was carrying away. Paul D leaned over to wipe the spilled coffee with his,annotator_2,overlap
Sula (1973),Jude,211921,211925,thematic_reference,0.9,Jude,"Moreover, she would be doing it with the taste of Jude's exit in her mouth, with the resentment and sham",annotator_2,overlap
Song of Solomon (1977),Hagar,251391,251396,character_reference,0.85,Hagar,"""Can I do something for you?"" ""I'm Ruth Foster."" Hagar stiffened. A lightning shot of excitement ran thr",annotator_2,overlap
Song of Solomon (1977),Hagar,576648,576653,character_reference,0.85,Hagar,"d. They had seventy- five cents between them when Hagar declared her needs, and six dollars owed to them",annotator_2,overlap
The Bluest Eye (1970),Micah,241350,241355,thematic_reference,0.9,Micah,"died soon after childbirth. Her son, named Elihue Micah Whitcomb, provided the schoolmaster with ample op",annotator_2,overlap
A Mercy (2008),Jacob,139923,139928,character_reference,0.85,Jacob,the menace of familiar objects lying still. When Jacob was away. When neither Patrician nor Lina was eno,annotator_2,overlap
Jazz (1992),hope,99077,99081,thematic_reference,0.8,Hope,thing to do or worth doing except to lie down and hope when you are naked she won't laugh at you. Or tha,annotator_2,overlap
Song of Solomon (1977),Ruth,242864,242868,thematic_reference,0.9,Ruth,"would grind her teeth.) Gnashing the cornstarch, Ruth let Pilate lead her into the bedroom, where the w",annotator_2,overlap
Paradise (1998),Mary,37688,37692,character_reference,0.85,Mary,"ve the clover. Bodacious black Eves unredeemed by Mary, they are like pan- icked does leaping toward a s",annotator_2,unique
Tar Baby (1981),Gideon,183132,183138,character_reference,0.7,Gideon,dier ants so clearly and why she was so eager for Gideon to finish with the hens and join her on some pret,annotator_2,overlap
The Bluest Eye (1970),Mary,68268,68272,character_reference,0.85,Mary,"ht her nine lovely orgasms with Mary Jane. Lovely Mary Jane, for whom a candy is named. Three whores liv",annotator_2,overlap
Song of Solomon (1977),Solomon,555114,555121,character_reference,0.85,Solomon,lly want to. In Solomon's store he found Omar and Solomon shak- ing sacks of okra into peck baskets and he,annotator_2,overlap
Beloved (1987),Jesus,460041,460046,character_reference,0.85,Jesus,"at? Is that why you can't walk down the steps? My Jesus my."" But you said there was no defense. ""There ai",annotator_2,overlap
Beloved (1987),Jesus,84795,84800,character_reference,0.85,Jesus,"whispered. ""Who?"" Sethe was getting loud again. ""Jesus! I said Jesus! All I did was sit down for supper!",annotator_2,overlap
Song of Solomon (1977),Ruth,117473,117477,thematic_reference,0.9,Ruth,r at the wedding of this son's youngest daughter. Ruth went and when the congregation went to the altar,annotator_2,overlap
Beloved (1987),Paul,131380,131384,character_reference,0.85,Paul,"of what she heard. But she could not picture what Paul D said. Nothing came to mind. Carefully, carefull",annotator_2,overlap
The Bluest Eye (1970),Luke,60159,60163,thematic_reference,0.9,Luke,"e was in front of her, but she shared a desk with Luke Angelino. Her teachers had always treated her thi",annotator_2,overlap
A Mercy (2008),Judith,126034,126040,character_reference,0.85,Judith,"ds me."" ""Rude words but not rude behavior?"" asked Judith. ""That, too,"" she replied. They were settled now",annotator_2,unique
Sula (1973),John,194034,194038,thematic_reference,0.9,John,"order Van Van, High John the Con- queror, Little John to Chew, Devil's Shoe String, Chinese Wash, Musta",annotator_2,unique
Song of Solomon (1977),Mary,367263,367267,character_reference,0.85,Mary,n who had turned heads on every deck of the Queen Mary and had Frenchmen salivating all over Paris. Cori,annotator_2,overlap
Beloved (1987),Paul,512308,512312,character_reference,0.85,Paul,a greengrocer selling vege- tables from a wagon. Paul D pointed to a bunch of turnips. The grocer hande,annotator_2,overlap
Song of Solomon (1977),Hagar,84748,84753,character_reference,0.85,Hagar,"luck at all...."" ""He comes just once a year.. .."" Hagar and Pilate pulled the conversation apart, each ya",annotator_2,overlap
Song of Solomon (1977),Magdalene,55456,55465,character_reference,0.85,Magdalene,d like a willow over her stirring. Chapter 2 Only Magdalene called Lena and First Corinthians were genu- inel,annotator_2,overlap
Paradise (1998),Mary,336717,336721,character_reference,0.85,Mary,"ifficult to see, but Seneca recognized the Virgin Mary, the pair of shiny nun shoes, the rosary and, on",annotator_2,overlap
Beloved (1987),Paul,122337,122341,character_reference,0.85,Paul,"hat took hold of her as she looked at Sethe, made Paul D speak. 65 ""Ain't you got no brothers or sisters",annotator_2,overlap
Song of Solomon (1977),Hagar,178756,178761,character_reference,0.85,Hagar,"les and welcome. After about three years or so of Hagar's on-again-off-again passion, her refusals dwindl",annotator_2,unique
Song of Solomon (1977),Pilate,241544,241550,character_reference,0.7,Pilate,"the street Pilate lived on, though not the house. Pilate had no telephone and no number on her house. Ruth",annotator_2,overlap
Song of Solomon (1977),Grace,538928,538933,thematic_reference,0.8,Grace,"her was named Sing, wasn't she?"" ""No, she wasn't, Grace, and if you let me finish a sentence you might le",annotator_2,unique
Song of Solomon (1977),Mary,539077,539081,character_reference,0.85,Mary,"t you said-"" ""My mother's name was Mary. M-a-r-y, Mary."" ""Well, excuse me."" Susan turned to Milkman. ""My",annotator_2,overlap
Tar Baby (1981),Paul,465182,465186,character_reference,0.85,Paul,"e here Monday."" Soldier was alarmed. ""Who's Ernie Paul?"" ""He's one of us. Grew up with Son and Drake and",annotator_2,overlap
Song of Solomon (1977),Pilate,241505,241511,character_reference,0.7,Pilate,"hrough that part of town, but she knew the street Pilate lived on, though not the house. Pilate had no tel",annotator_2,unique
Tar Baby (1981),Gideon,190927,190933,character_reference,0.85,Gideon,"an old boyfriend and he the one sent her the box, Gideon.” ""Hold on. You going wild."" ""And machete-hair sh",annotator_2,overlap
Song of Solomon (1977),Ruth,25413,25417,thematic_reference,0.9,Ruth,"im. So Macon Dead neither heard of nor visualized Ruth's sudden ter- ror, her awkward jump from the rock",annotator_2,overlap
A Mercy (2008),Jacob,43343,43348,character_reference,0.85,Jacob,"iper having played less well than himself, raised Jacob's spirits enough for him to join in the singing.",annotator_2,overlap
A Mercy (2008),Jacob,23070,23075,character_reference,0.85,Jacob,"t, D'Ortega's skin was as dry as parchment, while Jacob continued to perspire. The condition of the hand-",annotator_2,overlap
Beloved (1987),ROMANS 9:25,1087,1098,direct_quote,0.95,Romans 9:25,"y people; and her beloved, which was not beloved. ROMANS 9:25 1 One I 1 1 1 -- 124 WAS SPITEFUL. Full of a baby",annotator_2,overlap
Sula (1973),Jesus,208536,208541,character_reference,0.85,Jesus,"at have I done to deserve the wrath, and Take me, Jesus, I have seen the promised land, and Do, Lord, rem",annotator_2,overlap
Paradise (1998),numbers,420819,420826,thematic_reference,0.9,Numbers,ol-before she even noticed the singularity of the numbers. It was some time later that she saw there were o,annotator_2,overlap
Sula (1973),Jesus,46012,46017,character_reference,0.85,Jesus,"quilts, ""I want... I want to be... wonderful. Oh, Jesus, make me wonderful."" The many experiences of her",annotator_2,overlap
Beloved (1987),John,355546,355550,thematic_reference,0.9,John,"here is he, huh? Baby never laid eyes on her till John carried her to the door with a baby I strapped on",annotator_2,unique
Paradise (1998),Jesus,12177,12182,character_reference,0.85,Jesus,"Christians—well, Catholics anyway-not a cross of Jesus anywhere. But what alarms the two men most is the",annotator_2,unique
Sula (1973),mark,239605,239609,thematic_reference,0.9,Mark,"that was how he knew she was a friend-she had the mark of the fish he loved), and one of her braids had",annotator_2,overlap
Sula (1973),job,212689,212692,thematic_reference,0.9,Job,ived on. And just this past year she got a better job working as a chambermaid in the same hotel Jude h,annotator_2,overlap
Paradise (1998),Zechariah,590730,590739,thematic_reference,0.9,Zechariah,"(the depression of '73 was severe), but they took Zechariah's dignified manner for coldness and his studied s",annotator_2,overlap
Tar Baby (1981),Gideon,188369,188375,character_reference,0.7,Gideon,"""You slaughter the hen or the hen slaughter you?"" Gideon held up one hand to shush her and with the other",annotator_2,unique
Song of Solomon (1977),Pilate,168929,168935,character_reference,0.7,Pilate,friends believed vital to a party. When he got to Pilate's he walked in on a domestic crisis. Reba's new m,annotator_2,unique
Beloved (1987),job,389706,389709,thematic_reference,0.9,Job,"ak, your name. But the Bodwins got me the cooking job at Sawyer's and left me able to smile on my own l",annotator_2,overlap
A Mercy (2008),hope,103355,103359,thematic_reference,0.8,Hope,"those. Reverend Father says communion is the best hope, prayer the next. There is no communion hereabout",annotator_2,overlap
The Bluest Eye (1970),Moses,260756,260761,character_reference,0.7,Moses,"of questions: ""What is your name?"" put to you by Moses, You would not say, and said instead “I am who I",annotator_2,overlap
Beloved (1987),Jesus,71279,71284,character_reference,0.85,Jesus,"tle in a lot of ways. You know, the kind who know Jesus by His first name, but out of politeness never us",annotator_2,overlap
Song of Solomon (1977),Solomon,598459,598466,character_reference,0.85,Solomon,"it that the wind makes. People say it's the wife, Solomon's wife, crying. Her name was Ryna. They say she s",annotator_2,unique
Paradise (1998),James,504933,504938,thematic_reference,0.9,James,"shock that Sal would be in junior high now, Billy James in third grade and Frankie in fifth. Still, there",annotator_2,unique
A Mercy (2008),Jacob,50662,50667,character_reference,0.85,Jacob,nd was still isolated except for the Separatists. Jacob soon learned that they had bolted from their bret,annotator_2,overlap
Beloved (1987),Paul,428089,428093,character_reference,0.85,Paul,ing. He disappeared and everybody was on his own. Paul A goes back to moving timber after dinner. They a,annotator_2,overlap
Beloved (1987),Paul,24190,24194,character_reference,0.85,Paul,"u would have stayed."" ""Girl, who you talking to?"" Paul D laughed. ""True, true. She's right, Sethe. It wa",annotator_2,overlap
Paradise (1998),Zechariah,591027,591036,thematic_reference,0.9,Zechariah,"did odd jobs. Few knew and fewer remembered that Zechariah had a twin, and before he changed his name, they",annotator_2,overlap
A Mercy (2008),John,75995,75999,thematic_reference,0.9,John,"rful remedy she knew: devil's bit, mugwort, Saint-John's-wort, maiden- hair and periwinkle; boiled it, s",annotator_2,overlap
Song of Solomon (1977),Hagar,609508,609513,character_reference,0.7,Hagar,"acon Dead, Sing Byrd, Crowell Byrd, Pilate, Reba, Hagar, Magdalene, First Corinthians, Milkman, Guitar, R",annotator_2,overlap
Song of Solomon (1977),Pilate,33969,33975,character_reference,0.7,Pilate,"-and that wasn't much-of running the house again, Pilate continued to visit, her shoelaces undone, a knitt",annotator_2,overlap
The Bluest Eye (1970),Micah,260430,260435,thematic_reference,0.9,Micah,"y cards. (Card enclosed.) By the way, I added the Micah-Micah Elihue Whit- comb. But I am called Soaphead",annotator_2,unique
Song of Solomon (1977),Hagar,587008,587013,character_reference,0.85,Hagar,"d grow all over his face. It's all over his head, Hagar. It's his hair too. He got to love it."" ""He don't",annotator_2,unique
Paradise (1998),Luke,215894,215898,thematic_reference,0.9,Luke,"ome Cross John on the west. St. Luke became Cross Luke. The sanity of this pleased most everybody, Deek",annotator_2,overlap
A Mercy (2008),Jacob,15186,15191,character_reference,0.85,Jacob,"s precarious but person- ally more repellent one, Jacob urged the mare to a faster pace. He dismounted tw",annotator_2,unique
Song of Solomon (1977),Hagar,87262,87267,character_reference,0.7,Hagar,"heads of Pilate and Reba shot up. They peered at Hagar, then exchanged looks. ""Baby?"" Reba's voice was s",annotator_2,overlap
Beloved (1987),Paul,376857,376861,character_reference,0.85,Paul,"A little. Just enough to butter Halle's face, so Paul D tells me, and make Sixo laugh at last. But I go",annotator_2,overlap
Song of Solomon (1977),Saul,499368,499372,character_reference,0.85,Saul,nd when the people were drifting outside to watch Saul scuffling and cursing at the men pulling him away,annotator_2,overlap
A Mercy (2008),Jacob,35225,35230,character_reference,0.85,Jacob,"er, sly, indirect, instead of straight and manly, Jacob neared the cookhouse and saw a woman standing in",annotator_2,overlap
Paradise (1998),Mary,474046,474050,character_reference,0.85,Mary,"When she described her spell and Lone's remedy to Mary Magna she laughed, saying, ""Well, the teacher I a",annotator_2,overlap
The Bluest Eye (1970),lot,51647,51650,character_reference,0.7,Lot,"uldn't feel hellfire, but I'm cold. I got to do a lot of things, but I ain't got to freeze."" ""Leave me",annotator_2,overlap
Beloved (1987),Paul,94138,94142,character_reference,0.85,Paul,aul D told everybody he knew him back in Roanoke. Paul D made a few acquaintances; spoke to them about w,annotator_2,overlap
Beloved (1987),hope,13071,13075,thematic_reference,0.8,Hope,"ard the closed door. ""Oh it's truly meant. I just hope you'll pardon my house. Come on in. Talk to Denve",annotator_2,overlap
Song of Solomon (1977),Solomon,493190,493197,character_reference,0.85,Solomon,"proached them. ""Feelin better, are ya?"" asked Mr. Solomon. ""Much better. Just needed a stretch, I guess."" H",annotator_2,overlap
Song of Solomon (1977),Hagar,87825,87830,character_reference,0.85,Hagar,"ath, but alert as though waiting for some signal. Hagar's profile was hidden by her hair. She leaned forw",annotator_2,overlap
Song of Solomon (1977),Pilate,480818,480824,character_reference,0.85,Pilate,d him-that her father's body was in the cave. Did Pilate tell Circe that they had killed a man in there? P,annotator_2,overlap
Song of Solomon (1977),lot,205019,205022,character_reference,0.7,Lot,"anks for the coffee, boy. Did me a lot of good. A lot of good."" He took his gloves out of his pocket an",annotator_2,unique
Jazz (1992),lot,225528,225531,character_reference,0.7,Lot,"y were more than enough. I've thought about him a lot, wondered whether he was what True Belle loved an",annotator_2,overlap
Paradise (1998),Mary,451252,451256,character_reference,0.85,Mary,", except her own. That decision would come later. Mary Magna's age, seventy-two, was a con- sideration,",annotator_2,unique
Beloved (1987),Paul,89213,89217,character_reference,0.85,Paul,"ver's bonnet knocked against her shoulder blades; Paul D wore his vest open, no jacket and his shirt sle",annotator_2,unique
